file_name,artist,title,genre,year,duration,tempo,energy_rms,key_index,spectral_centroid,spectral_bandwidth,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,playcount,listeners
Ariana Grande - Positions.m4a,Ariana Grande,Positions,pop;rnb;trap;rap,,177.5629931972789,143.5546875,0.1870637536048889,9.0,2830.604444407504,2844.4478282047726,0.106450036583301,-130.15106201171875,67.48130798339844,21.73255729675293,16.237682342529297,4.632955551147461,0.7143709659576416,-1.705683946609497,-4.549683570861816,2.5156338214874268,-2.3293917179107666,-11.078508377075195,-2.0274715423583984,-4.825286865234375,16294224.999999998,1215292.0
Arja Saijonmaa - Bella ciao.mp3,Arja Saijonmaa,Bella ciao,,2000,187.5069387755102,129.19921875,0.07047788798809052,9.0,1664.9573850780512,1970.8316739243585,0.0619336768938661,-234.1946563720703,115.32481384277344,-7.916225910186769,25.01704406738281,2.361328601837158,3.056891202926636,-1.435269117355347,-4.407872676849365,-5.361937522888184,-0.5270792841911317,-8.584153175354004,0.12214906513690935,-11.061919212341309,5825.0,1300.0
Arsonists vs. Firemen - Blinding Lights.mp3,Arsonists vs. Firemen,Blinding Lights,,2014,262.57,86.1328125,0.1828717142343521,5.0,1446.9730060927989,1820.7930789033144,0.0541242003071787,-131.6341094970703,139.445068359375,0.8969818353652954,29.470905303955078,8.192668914794922,11.683283805847168,6.229163646697998,9.885035514831545,1.8575929403305054,7.518036365509033,4.034204483032227,6.036017417907715,0.7430161237716675,98.0,19.0
Asake - Remember.mp3,Asake,Remember,,2023-06-15,208.065306122449,112.34714673913044,0.2126893252134323,10.0,2268.810959219335,2534.8450917851314,0.0878129610705301,-97.74642944335938,88.08012390136719,8.305367469787598,14.20799160003662,-5.37732744216919,2.695335149765014,-3.4752438068389893,1.9791808128356927,-8.529938697814941,4.836380958557129,-6.075562477111816,-0.2609106600284576,-1.4970824718475342,240581.0,24092.0
Avicii - Hey Brother.mp3,Avicii,Hey Brother,dance;electronic;pop;house,2015-05-12,263.0791836734694,123.046875,0.0889539346098899,7.0,2145.710262599775,2261.568589263925,0.0957116283499419,-168.8154754638672,90.03465270996094,-3.8907437324523926,30.26556968688965,0.546952486038208,10.805084228515623,-9.337010383605955,-1.168950438499451,-12.8057279586792,-5.637058734893799,-4.042175769805908,-1.5663264989852903,-10.982099533081056,7528348.0,977931.0
Avicii - Wake Me Up.mp3,Avicii,Wake Me Up,dance;electronic;pop,2013-11-25,272.5355102040816,123.046875,0.04061321914196009,9.0,2457.5486897355763,2501.9321331129413,0.1136778840339589,-230.25474548339844,86.8082504272461,1.5612503290176392,28.68168258666992,12.133328437805176,6.978238105773926,-6.835406303405762,7.233700752258301,-10.565302848815918,4.795815467834473,-4.691174507141113,-4.325078964233398,3.283050775527954,13556336.0,1581200.0
Aya Nakamura - 40%.mp3,Aya Nakamura,40%,,,270.792,184.5703125,0.07194922119379038,1.0,1401.822995366339,1698.6184657872964,0.059082409176664,-252.4410552978516,132.32748413085938,1.8348972797393799,33.998504638671875,3.608827352523804,2.506708860397339,-10.705031394958498,-6.7445783615112305,-4.442237377166748,1.0275211334228516,-7.074983596801758,-2.4266514778137207,-8.80106258392334,236096.0,31910.0
Aya Nakamura - Doudou.mp3,Aya Nakamura,Doudou,,2020,171.74,99.38401442307692,0.2118975222110748,11.0,2372.3272766456253,2334.3688291597914,0.1001114505732391,-111.33496856689452,82.71863555908203,-2.587533712387085,23.083585739135746,-2.543510675430298,3.4032976627349854,1.58682107925415,1.4169738292694092,-1.3508068323135376,9.20828628540039,-11.486873626708984,3.563331127166748,-5.504216194152832,207575.0,30063.999999999985
Aya Nakamura - Le Passé.mp3,Aya Nakamura,Le Passé,,2018-03-02,154.01795918367347,123.046875,0.3194737732410431,2.0000000000000004,1908.8640132983496,2281.307257551864,0.0686025708083397,-60.34483337402344,109.60747528076172,0.561556577682496,11.6123685836792,-7.148591041564942,-4.585663795471191,7.305948257446289,-5.308205127716064,-2.708826780319214,7.545855522155762,-8.100347518920898,2.016639947891236,-8.599143981933594,67553.0,9919.0
Aya Nakamura - Soldat.mp3,Aya Nakamura,Soldat,,2019-10-25,182.23020408163265,129.19921875,0.2549775242805481,1.0,1958.028917985084,2266.5218155948896,0.0733459283692918,-117.03304290771484,99.7256317138672,-3.4705114364624023,14.390236854553224,15.789956092834473,4.760963439941406,6.702808380126953,-0.6170943975448611,0.38669466972351163,13.883151054382324,-5.654531002044678,10.391107559204102,-6.836280822753906,60757.0,10777.0
Aya Nakamura - Gangster.mp3,Aya Nakamura,Gangster,,2018-11-02,184.18938775510205,129.19921875,0.197676882147789,3.0,2071.964710451987,2387.484168998076,0.0830799964928405,-114.88697052001952,100.9793472290039,2.6197056770324707,17.2523250579834,9.10616683959961,1.366532325744629,5.238026618957521,-3.0715363025665283,-6.260429859161377,-0.20599402487277985,-12.02451229095459,-2.0475893020629883,-11.163980484008786,61892.0,11559.0
Aya Nakamura - La dot.mp3,Aya Nakamura,La dot,,2018-11-02,210.44244897959183,112.34714673913044,0.2339513003826141,0.0,2185.821728693448,2354.52664739072,0.0920240089251161,-107.94335174560548,89.7159194946289,-0.6030095815658569,19.49555206298828,14.4935302734375,-4.199066638946533,4.9909772872924805,-5.292736053466798,-6.737290859222412,6.417879581451416,-14.823626518249512,0.8249708414077758,-12.906492233276367,239588.0,34212.0
Aya Nakamura - Bobo.mp3,Aya Nakamura,Bobo,,2021-07-16,193.22,107.666015625,0.1317594647407531,0.0,1978.2703573269248,2231.29820453069,0.0775131367308436,-186.134506225586,95.7212905883789,10.024497032165527,18.87094688415528,5.890292644500732,3.1548309326171875,-1.159113883972168,-7.254730224609375,-9.483144760131836,2.273049831390381,-6.767427921295166,-0.0776178240776062,-5.811838626861572,245546.0,34295.0
Aya Nakamura feat. Damso - Dégaine.mp3,"Aya Nakamura,  feat. , Damso",Dégaine,,2022-03-10,208.84897959183672,117.45383522727272,0.2062553912401199,8.0,2150.417056763497,2515.113918626888,0.0892328315475038,-107.09194946289062,105.96959686279295,7.224174976348877,4.050705432891846,12.3341064453125,-8.039316177368164,-0.7889164090156555,-2.535738945007324,-5.1891303062438965,6.161221027374268,-6.944924831390381,2.717891454696656,-5.278269767761231,521.0,231.00000000001455
Ayo & Teo - Rolex.mp3,Ayo & Teo,Rolex,,2017-01-13,241.9722448979592,143.5546875,0.233152687549591,8.0,2517.4537525628666,2292.768356807548,0.1163968774187306,-85.14514923095703,73.34199523925781,-30.61000633239746,2.355307102203369,-6.569792270660401,-4.792543411254883,-3.836827516555786,-5.96256160736084,-13.526018142700195,4.896719455718994,-9.380107879638672,4.20819616317749,-7.791759490966797,1243170.0,244087.0
Ayra Starr - Rush.mp3,Ayra Starr,Rush,,2022-09-16,186.4359183673469,135.99917763157896,0.1471559554338455,11.0,1600.8835788623094,1990.745290394923,0.0569552489478521,-167.97373962402344,117.7864990234375,10.525350570678713,18.633638381958008,2.3121676445007324,2.858729600906372,-3.1638307571411133,3.204206705093384,-2.5301530361175537,4.075800895690918,1.717360019683838,0.1566679924726486,-3.201499938964844,1773506.0,186087.0
BTS - Dynamite.mp3,BTS,Dynamite,pop;dance,2020-08-21,223.3991836734694,112.34714673913044,0.1882643848657608,4.0,2354.37888226828,2435.893128015073,0.1031121882860874,-145.83767700195312,83.6733169555664,8.296492576599121,20.20935821533203,14.396644592285156,5.935004234313965,1.9241333007812496,9.497047424316406,-1.4293959140777588,2.778786420822144,1.176700472831726,0.5466668009757996,-3.247952699661255,165341473.0,1031615.0
Bad Bunny ft. Drake - MIA.m4a,Bad Bunny ft. Drake,MIA,,,210.72108843537416,129.19921875,0.3043099641799927,11.0,1948.3542144983069,2398.738865941664,0.0501489786909829,-108.1758804321289,94.6118392944336,22.54082298278809,25.41887283325196,17.93547248840332,14.435203552246094,-0.11638941615819931,18.130931854248047,-8.008637428283691,14.86471176147461,6.613417148590087,1.9167696237564087,6.09122610092163,1604.0,306.0
Bakermat - Baianá.mp3,Bakermat,Baianá,pop,2019-10-31,200.18,112.34714673913044,0.135549709200859,9.0,1986.787233447368,2275.3398044751466,0.0724910582551277,-206.12384033203125,105.28076934814452,-4.140865325927734,13.547598838806152,8.601741790771484,11.235852241516112,13.627425193786621,8.247714042663574,9.362176895141602,9.903785705566406,1.282926082611084,8.335172653198242,0.09668346494436264,2360745.0,321790.0
